"N", "J", "SWEEPS", "TRANSFS", "GS", "TIMEs", "MAXREΛ", "||G-UΣV^-1||_F/||G||_F"
   1,    0,          1,           0,  1022,       0.000454, 0.00000000000000000E+000, 0.00000000000000000E+000
   2,    1,          2,           1,  1020,       0.000722, 0.00000000000000000E+000, 3.96904694630504887E-017
   4,    2,          5,          20,  1020,       0.001502, 8.88178419700125430E-016, 6.00229919439706676E-016
   8,    4,          6,         120,  1019,       0.003667, 8.88178419700125430E-016, 6.27231946782843485E-016
  16,    8,          7,         561,  1018,       0.012644, 2.43941704193403655E-015, 1.37955159617885706E-015
  32,   16,          8,        2858,  1016,       0.080713, 2.89168894636345337E-015, 2.15848834154311377E-015
  64,   32,         10,       13314,  1015,       0.649618, 9.44985583817230597E-015, 4.09854516293093620E-015
 128,   64,         10,       58264,  1014,       5.320468, 1.42183718645799791E-014, 7.72500529953710088E-015
 256,  128,         11,      254440,  1013,      45.503861, 2.14248711870832230E-014, 1.37252577982561553E-014
 512,  256,         12,     1083818,  1012,     385.959777, 4.04021024177365751E-014, 2.20447506430751323E-014
1024,  512,         14,     4668994,  1011,    3338.535644, 8.85337179519716393E-014, 6.24136487253888251E-014
2048, 1024,         15,    19462258,  1010,   27853.700423, 1.78641550047181633E-013, 1.20291002457650371E-013
