1..4096 
          1,           0,  1022,       0.000000, 0.00000000000000000E+000, 0.00000000000000000E+000
          2,           1,  1020,       0.000000, 0.00000000000000000E+000, 3.96904694630504904E-017
          5,          20,  1020,       0.000000, 4.44956557581470562E-016, 5.71047363198977169E-016
          6,         120,  1019,       0.000000, 1.02056023840334426E-015, 7.12830020804690962E-016
          7,         574,  1018,       0.000000, 2.62349699900226123E-015, 1.58337586463269262E-015
          9,        2761,  1016,       0.000000, 3.99680288865056749E-015, 2.13939509511794310E-015
          9,       12482,  1015,       0.015000, 5.30795360441769990E-015, 3.60256501422492739E-015
         10,       56252,  1014,       0.156000, 1.24683298921634767E-014, 6.04227859051553588E-015
         11,      243533,  1013,       1.282000, 2.37032360618206031E-014, 1.52364920822448430E-014
         12,     1054771,  1012,      10.765000, 4.46803169789281605E-014, 2.17536674216497365E-014
         14,     4469841,  1011,      90.797000, 9.35803095197696510E-014, 5.17292373419225796E-014
         15,    19069044,  1010,     777.473000, 1.79609120950061222E-013, 1.26987010623548242E-013
         17,    78950557,  1008,    6464.865000, 3.37300524578622146E-013, 2.07764140113885996E-013
